ID,STATE,AGE,RACE,GENDER,EDUCATION,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
262022,CA,70,American Indian,M,M.Sc,2,2,5,4,1,2,1,2,2,2,5,2,5,5,1,2,3,1,3,4,2,4,4,2,2
262031,MO,61,White,F,High School,2,2,4,1,5,2,2,2,3,2,3,5,1,3,2,4,5,5,4,4,5,5,5,5,5
262086,CA,54,Asian,M,High School,5,1,3,4,1,2,1,4,1,2,2,1,5,2,5,1,2,4,5,4,1,5,3,3,3
262129,FL,94,American Indian,F,High School,5,2,3,3,4,4,4,4,3,4,3,3,4,1,2,5,2,2,2,5,1,4,4,3,3
262165,MT,67,Hispanic,M,PhD,1,1,1,2,4,5,1,1,1,2,2,5,2,4,4,1,4,5,5,3,4,1,5,4,3
262235,AZ,46,American Indian,M,"B,Sc",1,2,1,5,4,5,4,3,3,3,2,4,5,5,2,2,4,4,3,5,5,2,5,4,3
262299,AZ,60,Hispanic,M,"A,Sc",4,1,2,2,5,1,2,1,4,5,4,2,3,2,5,4,5,1,4,3,5,1,3,4,3
262332,AZ,54,White,F,GED,2,3,2,3,2,1,2,4,1,4,3,3,2,2,5,4,1,4,1,2,3,4,2,2,4
262341,AZ,46,White,F,"A,Sc",3,3,2,3,5,3,5,3,2,4,1,3,3,5,2,5,4,5,3,4,3,1,1,2,4
262369,CA,20,American Indian,F,GED,1,3,3,1,3,2,1,3,5,4,3,5,2,2,5,5,3,4,5,5,2,3,5,5,4
262402,CA,32,White,M,GED,2,3,5,5,3,4,4,5,3,1,1,5,1,5,3,2,4,5,3,2,2,5,3,4,4
262457,CA,81,African American,M,M.Sc,2,1,4,1,4,4,2,4,4,4,5,1,4,4,1,4,2,4,1,4,1,3,1,4,4
262466,CO,63,American Indian,F,GED,3,2,5,2,2,5,5,2,4,1,3,5,5,4,2,1,2,5,3,1,5,3,2,1,4
262509,CO,31,Pacific Islander,M,"A,Sc",5,4,4,3,4,4,2,3,4,4,4,2,2,2,3,4,5,2,4,4,1,4,1,3,5
262660,KY,53,American Indian,M,"B,Sc",3,5,5,2,1,1,3,4,1,1,2,5,2,4,2,3,3,2,4,3,1,1,3,3,5
362700,FL,46,Pacific Islander,F,"A,Sc",5,4,5,4,2,3,1,5,5,5,4,2,1,2,4,5,3,5,5,3,3,3,3,2,1
362782,MA,35,Pacific Islander,F,"B,Sc",5,1,4,3,1,4,2,3,3,3,1,2,1,3,5,1,4,4,3,1,1,3,4,1,2
363013,MI,62,Pacific Islander,M,High School,3,1,5,1,3,2,2,5,2,4,1,3,3,4,4,5,4,5,1,4,4,5,5,2,1
363077,NJ,34,American Indian,F,M.Sc,4,5,5,3,1,1,1,4,2,4,3,2,4,3,5,2,3,1,2,5,2,1,4,2,4
363147,OH,68,Asian,M,PhD,2,5,1,5,2,1,3,2,5,1,2,5,1,5,3,4,3,5,2,4,3,1,3,2,5
363165,OK,66,White,M,M.Sc,3,5,2,3,4,1,1,4,1,5,1,3,2,2,2,4,1,5,3,4,2,5,4,3,1
363387,CA,38,Pacific Islander,M,PhD,2,1,3,4,4,4,5,4,3,3,4,5,4,1,3,3,2,4,3,3,3,2,2,5,2
363439,KY,59,White,F,GED,5,3,3,4,1,2,3,2,5,1,5,5,5,2,4,1,1,5,2,5,3,5,5,1,5
363590,WA,41,American Indian,F,PhD,5,5,4,4,2,5,1,1,4,2,5,3,3,1,2,5,5,2,2,4,5,2,4,5,1
363633,NM,41,Hispanic,F,"B,Sc",4,5,3,4,4,3,4,5,4,1,2,5,5,2,3,3,5,2,3,3,5,3,2,5,1
363679,MO,77,African American,F,"A,Sc",1,4,4,5,4,2,3,5,1,2,4,3,4,5,5,2,2,1,4,2,2,5,5,5,3
363712,FL,86,American Indian,F,M.Sc,1,3,2,5,5,3,5,5,4,2,1,5,2,2,5,1,3,2,2,4,3,3,3,5,4
363721,DC,40,Asian,F,M.Sc,2,5,2,5,2,2,5,2,2,4,1,2,2,5,3,2,2,2,4,3,4,2,2,1,1
363882,OH,55,Hispanic,F,"A,Sc",4,5,5,2,2,1,3,1,4,4,1,4,1,4,2,3,2,3,5,3,5,3,2,3,1
363907,PR,18,White,M,"B,Sc",4,3,5,4,1,1,2,5,2,2,3,5,2,3,5,2,4,2,4,2,5,5,5,4,1
363916,PR,18,Asian,F,High School,4,4,1,4,2,1,1,2,2,4,1,2,5,1,4,5,4,5,4,5,5,5,5,1,2
363934,AZ,73,Pacific Islander,M,GED,4,2,2,1,4,3,4,3,5,5,4,1,2,1,3,5,1,1,1,5,5,5,3,3,1
364016,AZ,79,Hispanic,F,M.Sc,3,4,1,1,4,2,5,1,1,4,1,4,5,2,1,2,4,5,1,4,3,1,5,4,4
364025,AZ,68,White,F,"B,Sc",1,3,2,5,5,1,5,5,4,5,5,4,3,2,4,4,4,4,5,4,2,4,2,3,3
364122,IL,86,Hispanic,M,M.Sc,3,2,2,1,1,2,2,4,3,1,2,4,5,5,4,3,2,5,5,1,1,3,3,1,5
364168,WI,41,Pacific Islander,M,High School,2,2,2,4,2,4,4,1,3,1,2,2,2,4,1,1,5,2,3,2,2,3,1,5,5
364317,MD,48,Asian,M,M.Sc,4,3,1,5,5,1,2,2,1,1,3,3,2,5,3,4,5,2,4,2,4,5,5,2,3
364326,NY,52,Hispanic,F,High School,4,3,1,1,2,4,3,3,2,1,2,4,5,3,4,2,5,1,3,3,2,2,5,3,4
364335,NY,86,American Indian,M,PhD,2,4,2,2,5,4,3,4,2,4,3,4,3,2,4,1,2,4,4,2,4,2,4,3,1
364548,OK,68,American Indian,F,PhD,3,3,2,1,3,4,1,4,5,5,4,3,1,3,4,2,3,1,4,2,3,2,4,1,1
364566,CA,37,Hispanic,F,PhD,4,1,4,4,5,3,1,3,2,2,1,2,4,3,2,2,1,1,1,3,3,5,2,2,4
364575,WV,44,Asian,F,High School,4,5,3,5,1,2,2,3,4,2,3,4,3,1,1,2,1,3,2,5,2,4,1,4,5
364584,WA,56,White,M,"A,Sc",3,3,5,2,5,3,5,2,4,2,2,4,5,2,1,2,2,3,1,1,1,5,4,5,5
364593,TX,44,Asian,F,GED,3,1,3,5,2,5,3,5,5,1,4,4,4,1,2,4,5,2,5,3,2,4,5,5,3
364618,PA,58,Pacific Islander,F,GED,3,4,3,5,1,1,4,2,2,5,2,5,1,2,1,1,5,1,3,3,4,2,1,5,2
364627,OK,83,White,M,"A,Sc",4,2,3,4,3,3,3,4,5,5,1,3,2,1,2,5,3,1,4,4,2,2,5,5,3
364636,OH,23,African American,M,High School,2,5,4,1,3,2,5,3,4,5,1,3,1,5,4,4,3,4,4,3,2,1,4,4,1
364751,LA,56,African American,F,High School,4,4,3,4,4,4,1,3,5,3,3,4,2,3,1,4,1,3,3,5,5,1,5,5,5
364760,IL,80,Asian,F,High School,1,1,3,4,2,3,4,4,1,5,4,3,2,2,3,1,5,1,2,3,4,3,5,3,5
364812,IL,34,American Indian,M,High School,2,4,5,2,4,2,2,3,4,1,3,1,1,3,3,2,3,4,5,3,5,4,3,1,4
364946,OK,24,Pacific Islander,M,PhD,5,3,2,1,3,3,3,4,1,4,4,1,1,4,4,5,2,1,5,5,3,5,1,3,4
364955,TX,77,Hispanic,F,"B,Sc",1,4,2,4,5,3,4,1,3,2,1,4,2,2,5,2,2,4,4,3,3,1,4,5,5
364964,NY,27,Pacific Islander,M,"A,Sc",2,2,3,1,2,5,2,4,3,1,2,5,5,5,3,1,2,2,5,4,4,4,3,4,5
364973,TX,52,Hispanic,F,"A,Sc",2,1,5,1,2,1,4,4,3,5,4,3,5,1,3,4,4,2,3,4,2,5,1,1,5
365055,NY,27,Pacific Islander,F,PhD,5,2,3,4,5,4,5,5,5,3,2,2,2,5,4,5,1,4,3,3,2,5,1,1,5
365073,MO,95,Hispanic,F,M.Sc,2,5,1,4,4,1,5,4,4,4,5,5,5,5,2,5,4,1,4,3,3,4,2,3,2
365091,GA,50,Pacific Islander,M,"B,Sc",2,4,4,4,5,5,5,5,5,3,4,4,5,2,3,1,1,4,1,2,1,4,4,2,5
365125,CA,46,White,M,PhD,5,5,2,1,5,4,2,5,1,5,2,5,3,4,1,2,5,1,2,3,3,3,5,3,3
365198,OK,90,Hispanic,F,PhD,5,4,1,2,4,3,5,2,3,1,5,1,4,4,4,5,1,5,1,1,2,4,5,4,2
365204,TX,27,American Indian,F,PhD,1,4,2,2,2,2,4,3,2,3,4,2,3,2,5,3,2,5,5,1,2,3,1,4,1
365213,OK,78,African American,M,"A,Sc",2,2,5,2,5,3,1,5,2,1,4,3,1,2,5,4,2,5,4,3,2,2,3,2,2
365240,OH,31,Asian,F,"A,Sc",4,5,2,4,2,4,5,4,3,5,3,5,1,2,2,1,3,1,4,1,5,3,1,1,2
365374,OK,66,Asian,F,GED,4,3,3,5,5,3,2,4,2,1,3,1,3,5,4,3,4,3,2,4,3,3,2,1,2
365383,PA,70,Asian,F,PhD,3,4,1,5,4,3,1,3,4,5,3,5,3,3,3,5,4,4,2,1,5,2,5,5,2
